								
								
								
								
								
					Pigiste de Blast	Journaliste web France 3	Freelance - Mediapart	Journaliste du Parisien
				Cursus	Master histoire → EMI (alternance 18 mois) → pigiste CCAS → journal municipal → Blast (fév 2024). Entrée dans Blast par concours de circonstances, non par militantisme initial.	Master journalisme Aix-Marseille (alternance France 3) → titularisée oct 2024. Trajectoire linéaire. Un seul média de service publique,	Sciences Po Paris → CFJ (AFP) → Freelance (Égypte, Irak, LCI) → AFP Jérusalem (2018-2019) → départ volontaire → freelance Mediapart, Le Monde, Arte. Ruptures institutionnelles successives et délibérées.	Sciences Po Lille → journalisme territorial → master socio-statistiques (ENS/EHESS/ENSAE) → Le Parisien (2015). Reconversion stratégique via l'acquisition d'une compétence rare (data) comme porte d'entrée dans un grand titre, un journal dominant.
				Position	Pigiste sans CDI, sans capital symbolique accumulé. Entrée via proposition d'article acceptée, non par recrutement classique. Une certaine précarité.	Intégrée au champ dominant via le service public. Volume de capital symbolique faible (début de carrière) mais position institutionnellement sécurisée (CDI). Pas d'expérience du champ alternatif.	Position entre les deux champs. Fort capital symbolique accumulé dans le champ dominant (AFP, Le Monde) qu'elle réinvestit en autonomie éditoriale dans le champ alternatif.	Position dominante dans le champ dominant. Capital technique rare et transversal (R, bases de données, cartographie). Appartient à un journal sous hétéronomie économique forte (LVMH/Arnault = propriétaire).
				Citation	« C'est pas un média que je suivais spécialement. Ça a plutôt été un concours de circonstances. »	« Mes attentes étaient de pouvoir faire un peu plus d'investigation... on m'a tout de suite expliqué que c'est une infime minorité. »	« Mes expériences en rédaction ont été souvent insatisfaisantes. J'avais l'impression d'être moins libre. »	« L'avantage des chiffres, c'est qu'il y en a partout et que tous les journalistes détestent ça. »
								
				Relation au Gatekeeping	Gatekeeping partagé mais hiérarchique : Rios propose, Denis Robert/Soumaya Benaissa valident. 	Gatekeeping classique et institutionnel : rédacteur en chef comme chef d'orchestre. Processus formalisé (conf → calage → rédaction → relecture). Logique de valeur ajoutée pour le lecteur comme critère de sélection.	Gatekeeping décentralisé et auto-géré : la journaliste est son propre gatekeeper. Spécialisation géographique (Proche-Orient). Arrêt de collaboration avec les médias limitant l'angle.	Gatekeeping data-driven : quelle question d'actualité peut-on répondre avec les bases de données disponibles ? L'outil technique structure le filtre éditorial. Co-élaboration des angles avec les chefs de service.
				Journée type	Pas de journée type. Discussion d'angle hors conférence (email/présentiel). La conférence de rédaction est utilisée pour signaler l'avancement, non pour co-construire l'angle.	Conférence de rédaction quotidienne 9h avec toute l'équipe. Attribution des sujets. Calage des sources. Relecture finale par le rédacteur en chef. Structure hiérarchique explicite et assumée.	Pas de journée type. Alternance terrain / bureau. L'actualité comme agenda. La liberté d'angle est la condition sine qua non de toute collaboration, rupture avec les médias qui l'imposent.	4 conférences de rédaction (8h55, 9h30, 17h, mercredi prévision). R toujours allumé. Veille permanente sur les flux de données. Hybridation actu chaude / enquête longue imposée par le market-driven journalism.
				Citation	« En conférence de rédaction, je peux évoquer le sujet sur lequel je travaille et dire où j'en suis, mais non, je discute pas des sujets en voix. »	« La conférence de rédaction sert à ça, ça va justement discuter de l'angle ensemble... en fonction de l'affinité de ce qu'il le tente. »	« Il y a des médias avec lesquels j'ai arrêté de travailler puisque je trouvais qu'il n'y avait pas assez de liberté dans les angles. »	« En fonction de l'actualité, il y a des espèces de réflexes de qu'est-ce qu'on peut raconter avec les bases de données dont on dispose. »
								
				Rapport à la neutralité	Rejet de la neutralité au profit de l'objectivité factuelle. Angle assumé + factualité stricte. Accepte le terme « militant » sans problème mais tous les médias le sont (y compris par le choix des sujets).	Objectivité = leurre. Neutralité possible mais non équivalente. Devoir d'honnêteté intellectuelle. Les faits comme ancrage. Sentiment d'immunité aux pressions car service public (pas d'actionnaire privé).	Objectivité dévoyée par l'équivalence fallacieuse des sources. Vérification rigoureuse obligatoire. Journalisme militant = antinomique au journalisme. CNews/JDD = vrais militants. Blast = rigoureux. Le Média = trop lié à LFI.	Ne croit pas à la neutralité. Croit en l'honnêteté. Les chiffres ne sont pas neutres. Exemple : 50% gagnent plus/moins que le médiane = même donnée, deux cadres interprétatifs opposés.
				Rapport à la critique contre-hégémonique	Posture ambivalente : travaille pour Blast (critique contre-hégémonique) mais n'y est pas entré par engagement militant. La ligne éditoriale est internalisée progressivement.	Auto-immunise son média (« pas de pression économique ni politique ») sans analyser l'hétéronomie politique inhérente au service public (financement d'État, commissions d'enquête parlementaires, etc.).	Distingue le militantisme (idéologique, structurel) de l'engagement (éthique, factuel). Posture proche de la critique contre-hégémonique de Cardon & Granjon : rigueur quasi-scientifique sans pseudo-neutralité.	Hétéronomie économique reconnue et explicitée (LVMH/Arnault, perte de 35M€/an). La neutralité serait mentir aux lecteurs sur ce que le journal peut/ne peut pas publier. Dissocie honnêteté individuelle et liberté institutionnelle.
